LA num,LA Name,LA number,GOInd,GOReg,SN1,SNP,SN2,SNP,SN3,SNP,SN4,SNP,SN5,SNP,SN6,SNP,SN7,SNP,SN8,SNP,SN9,SNP,SN10,SNP,
823,Central Bedfordshire,823,2,East of England,850,Extremely Close,855,Very Close,937,Very Close,803,Very Close,881,Very Close,895,Very Close,938,Very Close,867,Very Close,869,Very Close,919,Very Close,
825,Buckinghamshire,825,6,South East,936,Very Close,869,Very Close,868,Very Close,919,Very Close,931,Very Close,850,Very Close,867,Very Close,873,Very Close,823,Very Close,358,Very Close,
826,Milton Keynes,826,6,South East,822,Very Close,383,Very Close,941,Very Close,303,Close,870,Close,883,Close,866,Close,919,Close,886,Close,831,Close,
830,Derbyshire,830,1,East Midlands,891,Extremely Close,888,Extremely Close,860,Very Close,925,Very Close,909,Very Close,885,Very Close,940,Very Close,896,Very Close,359,Very Close,886,Very Close,
831,Derby,831,1,East Midlands,874,Very Close,373,Very Close,350,Very Close,894,Very Close,331,Very Close,335,Very Close,332,Very Close,887,Very Close,382,Very Close,383,Very Close,
838,Dorset,838,7,South West,878,Extremely Close,933,Extremely Close,893,Extremely Close,916,Very Close,885,Very Close,845,Very Close,935,Very Close,908,Very Close,865,Very Close,926,Very Close,
839,"Bournemouth, Christchurch & Poole",839,7,South West,882,Very Close,845,Very Close,866,Very Close,935,Very Close,886,Very Close,921,Very Close,938,Very Close,916,Very Close,878,Very Close,800,Very Close,
840,Durham,840,4,North East,342,Very Close,390,Very Close,394,Very Close,841,Very Close,370,Very Close,384,Very Close,359,Very Close,807,Very Close,808,Very Close,392,Very Close,
841,Darlington,841,4,North East,808,Extremely Close,344,Very Close,342,Very Close,392,Very Close,840,Very Close,381,Very Close,390,Very Close,359,Very Close,343,Very Close,807,Very Close,
845,East Sussex,845,6,South East,886,Very Close,885,Very Close,838,Very Close,881,Very Close,935,Very Close,878,Very Close,802,Very Close,933,Very Close,839,Very Close,926,Very Close,
846,Brighton and Hove,846,6,South East,870,Close,801,Close,800,Close,839,Close,882,Close,851,Close,383,Close,373,Close,816,Close,845,Close,
850,Hampshire,850,6,South East,938,Extremely Close,803,Extremely Close,823,Extremely Close,873,Very Close,802,Very Close,916,Very Close,855,Very Close,885,Very Close,937,Very Close,919,Very Close,
851,Portsmouth,851,6,South East,852,Very Close,879,Very Close,373,Very Close,831,Very Close,874,Very Close,801,Very Close,894,Close,882,Close,331,Close,355,Close,
852,Southampton,852,6,South East,851,Very Close,373,Very Close,874,Very Close,879,Very Close,831,Very Close,801,Close,331,Close,861,Close,810,Close,355,Close,
855,Leicestershire,855,1,East Midlands,803,Extremely Close,937,Very Close,823,Very Close,885,Very Close,850,Very Close,881,Very Close,938,Very Close,802,Very Close,860,Very Close,895,Very Close,
856,Leicester,856,1,East Midlands,871,Somewhat close,313,Somewhat close,333,Somewhat close,336,Somewhat close,312,Somewhat close,889,Somewhat close,331,Not Close,335,Not Close,852,Not Close,874,Not Close,
